search_term,name,category,size,pack,unit_price,case_price,url
sandwich rolls,Seattle International Sourdough Soft French Sandwich Roll,"BREADS, SANDWICH ROLLS, FROZEN",18 OZ,1,4.49,,https://www.chefstore.com/p/seattle-international-sourdough-soft-french-sandwich-roll_0003740/
sandwich rolls,Franz Seattle Sourdough Ciabatta,"BREADS, SANDWICH ROLLS, FROZEN",21.6 OZ,1,4.99,,https://www.chefstore.com/p/franz-seattle-sourdough-ciabatta_7794686/
sandwich rolls,Bimbo Dip Rolls 8 Inch,"BREADS, SANDWICH ROLLS, SHELF STABLE",6/8 EA,1,3.99,,https://www.chefstore.com/p/bimbo-dip-rolls-8-inch_1013557/
sandwich rolls,Franz French White Submarine Rolls Hinge Sliced,"BREADS, SANDWICH ROLLS, FROZEN",6/5 OZ,1,4.79,,https://www.chefstore.com/p/franz-french-white-submarine-rolls-hinge-sliced_2820616/
sandwich rolls,Bimbo Francisco Seeded Hoagie Roll,"BREADS, SANDWICH ROLLS, SHELF STABLE",12 EA,1,3.49,,https://www.chefstore.com/p/bimbo-francisco-seeded-hoagie-roll_5056048/
sandwich rolls,Bimbo Francisco 6 Inch French Roll,"BREADS, SANDWICH ROLLS, SHELF STABLE",12 EA,1,4.59,,https://www.chefstore.com/p/bimbo-francisco-6-inch-french-roll_3048779/
sandwich rolls,Bimbo Francisco Extra Sour French Bread,"BREADS, SANDWICH ROLLS, SHELF STABLE",24 OZ,1,4.29,,https://www.chefstore.com/p/bimbo-francisco-extra-sour-french-bread_6313066/
sandwich rolls,Bimbo Pan Integral Grande,"BREADS, SANDWICH ROLLS, SHELF STABLE",24 OZ,1,3.79,,https://www.chefstore.com/p/bimbo-pan-integral-grande_2381151/
sandwich rolls,Bimbo Pan Tostado,"BREADS, SANDWICH ROLLS, SHELF STABLE",7.05 OZ,1,2.99,,https://www.chefstore.com/p/bimbo-pan-tostado_7437917/
sandwich rolls,Chef's West Convection City Sour Mini Baguette Bread,"BREADS, SANDWICH ROLLS, SHELF STABLE",40 OZ,1,9.69,,https://www.chefstore.com/p/chefs-west-convection-city-sour-mini-baguette-bread_9696647/
hoagie rolls,Bimbo Francisco Seeded Hoagie Roll,"BREADS, SANDWICH ROLLS, SHELF STABLE",12 EA,1,3.49,,https://www.chefstore.com/p/bimbo-francisco-seeded-hoagie-roll_5056048/
